Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Arrives Before Christmas (product.metafields.custom.arrives_before_christmas),info_meta_text (product.metafields.custom.info_meta_text),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Recommended age group (product.metafields.shopify.recommended-age-group),Riding toy propulsion type (product.metafields.shopify.riding-toy-propulsion-type),Toy/Game material (product.metafields.shopify.toy-game-material),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Available Qty,Vendor SKU,enable_best_price (product.metafields.custom.enable_best_price)
1-seaters-ride-on-car-truck-battery-power-kids-electric-car-with-remote-12v-12709,,,,,,,,,Black,,,1 Year Warranty - $89,,,None - $0,,25-06111,2.4,shopify,deny,manual,227.99,,TRUE,TRUE,353265060464,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nbp-res.bytopo.com/20240418/sl_RFSLP2404180033217_99999999.jpg,lb,,97.29,,,,
1-seaters-ride-on-car-truck-battery-power-kids-electric-car-with-remote-12v-12709,,,,,,,,,Black,,,1 Year Warranty - $89,,,Custom License Plate - $39,,25-06112,2.4,shopify,deny,manual,266.99,,TRUE,TRUE,353265441515,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nbp-res.bytopo.com/20240418/sl_RFSLP2404180033217_99999999.jpg,lb,,97.29,,,,
1-seaters-ride-on-car-truck-battery-power-kids-electric-car-with-remote-12v-12709,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nbp-res.bytopo.com/20240418/sl_RFSLP2404180033218_99999999.jpg,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-seaters-ride-on-car-truck-battery-power-kids-electric-car-with-remote-12v-12709,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nbp-res.bytopo.com/20240418/sl_RFSLP2404180033216_99999999.jpg,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-seaters-ride-on-car-truck-battery-power-kids-electric-car-with-remote-12v-12709,,,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/Gd4AAeSwMIJoHAsT/s-l1600.jpg,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-seaters-ride-on-car-truck-battery-power-kids-electric-car-with-remote-12v-12709,,,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/9lQAAeSw~1poHAsT/s-l1600.jpg,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-seaters-ride-on-car-truck-battery-power-kids-electric-car-with-remote-12v-12709,,,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/QycAAeSwXDpoHAsT/s-l1600.jpg,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-seaters-ride-on-car-truck-battery-power-kids-electric-car-with-remote-12v-12709,,,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/jZgAAeSw49hoHAsT/s-l1600.jpg,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-seaters-ride-on-car-truck-battery-power-kids-electric-car-with-remote-12v-12709,,,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/S0kAAeSwfA1oHAsT/s-l1600.jpg,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-seaters-ride-on-car-truck-battery-power-kids-electric-car-with-remote-12v-12709,,,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/v7cAAeSwsfpoHAsU/s-l1600.jpg,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-seaters-ride-on-car-truck-battery-power-kids-electric-car-with-remote-12v-12709,,,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/xlkAAeSwQ5xoHAsT/s-l1600.jpg,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-seaters-ride-on-car-truck-battery-power-kids-electric-car-with-remote-12v-12709,,,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/mZgAAeSwBNJoHAsU/s-l1600.jpg,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-seaters-ride-on-car-truck-battery-power-kids-electric-car-with-remote-12v-12709,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nbp-res.bytopo.com/20240418/sl_RFSLP2404180033217_99999999.jpg,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
