Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Arrives Before Christmas (product.metafields.custom.arrives_before_christmas),info_meta_text (product.metafields.custom.info_meta_text),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Recommended age group (product.metafields.shopify.recommended-age-group),Riding toy propulsion type (product.metafields.shopify.riding-toy-propulsion-type),Toy/Game material (product.metafields.shopify.toy-game-material),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
2-seater-off-road-ride-on-truck-with-remote-control-and-slow-start,,,,,,,,,None - $0,,,Custom license plate - $39,,,,,275813039544-none-customlicenseplate-nan,52.979588816,shopify,deny,manual,637.81,829.15,true,true,'315584591012,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l1600_1f3cc038-29ad-49ab-89f2-8a83f8290bbe.jpg?v=1694748599,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,437.81,
2-seater-off-road-ride-on-truck-with-remote-control-and-slow-start,,,,,,,,,1 year - $89,,,None - $0,,,,,275813039544-1year-none-nan,52.979588816,shopify,deny,manual,687.81,894.15,true,true,'315584591029,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l1600_e9c4b257-63e6-469d-91db-d1bf0346b33a.jpg?v=1694748599,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,487.81,
2-seater-off-road-ride-on-truck-with-remote-control-and-slow-start,,,,,,,,,1 year - $89,,,Custom license plate - $39,,,,,275813039544-1year-customlicenseplate-nan,52.979588816,shopify,deny,manual,726.81,944.85,true,true,'315584591036,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l1600_80928439-b282-43f7-905f-96213a237eeb.jpg?v=1694748599,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,526.81,
2-seater-off-road-ride-on-truck-with-remote-control-and-slow-start,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l1600_c6e6a605-ddb5-493e-86fd-2b831728482f.jpg?v=1694748599,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-seater-off-road-ride-on-truck-with-remote-control-and-slow-start,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l1600_ca7ef15d-da9e-447f-b6c0-62bf5ad73804.jpg?v=1694748599,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-seater-off-road-ride-on-truck-with-remote-control-and-slow-start,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l1600_ef7a135b-2e5a-4e3a-b1e1-08dcca5bb4df.jpg?v=1694748599,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-seater-off-road-ride-on-truck-with-remote-control-and-slow-start,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l1600_4b0ad1f3-04ae-4055-9a19-88ba7a911d20.jpg?v=1694748599,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-seater-off-road-ride-on-truck-with-remote-control-and-slow-start,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l1600_9fd393da-e801-4deb-a356-cef0427ec1a3.jpg?v=1694748599,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-seater-off-road-ride-on-truck-with-remote-control-and-slow-start,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l1600_cc54fe51-81af-460e-829c-079e5754d97b.jpg?v=1694748599,10,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-seater-off-road-ride-on-truck-with-remote-control-and-slow-start,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l1600_a32415b7-b682-4b41-b69f-8445ff2e2eb6.png?v=1694748599,11,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-seater-off-road-ride-on-truck-with-remote-control-and-slow-start,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l1600_6a1b2b91-76c5-46b0-80e3-59dc98841778.png?v=1694748599,12,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12v-licensed-lamborghini-urus-kids-ride-on-truck-car-with-remote-control-and-battery,12V Licensed Lamborghini Urus Kids Ride-on Truck Car with Remote Control and Battery,"<body>



<p>Let the sidewalk road-trip begin! Your child can enjoy tons of outdoor fun with the Classic Lamborghini Urus Licensed 12V Kids Ride on Car. Equipped with wear-proof tires and a seat belt, this ride-on car ensures a safe and comfortable driving experience for your little one. For additional safety, you can control the vehicle with the provided remote control if your child isn't quite up to the task. The subtle high-end designs like soft-starting technology and spring suspension system enhance the overall experience for the users, making it even more thrilling and adventurous. Various additional functions like music, USB, and LED lights inject fun into your child's driving experience. This electric <a href=""https://www.magiccars.com"">ride-on</a> car is an ideal birthday or Christmas gift for your kids. Are you ready? Our TOBBI ride-on car is going to take you on an unforgettable adventure!</p>

<h3>Key Features:</h3>
<ul>
  <li>Officially licensed Lamborghini Urus ride-on car</li>
  <li>2.4Ghz parental remote control for added safety</li>
  <li>Remote control has forward/reverse controls and speed selection</li>
  <li>Recommended for children aged 3 to 6 years old</li>
  <li>2 motors drive and long-lasting battery provide extended entertainment time</li>
  <li>MP3 Player with USB port &amp; FM Radio to play music or stories</li>
  <li>Rear Spring Shock Suspension for a smooth ride</li>
  <li>Realistic working LED headlights for a lifelike experience</li>
  <li>Soft-starting technology makes the car launch and stop slowly</li>
  <li>Adjustable seat belt for safe and comfortable use</li>
  <li>Nice-looking and easy to drive for kids with a push-start button, speed option button, and steering wheel</li>
  <li>Long battery life - up to 60-120 minutes per charge (based on child's weight)</li>
  <li>Easy to assemble</li>
</ul>

<h3>Product Specifications:</h3>
<ul>
  <li>Color: Red</li>
  <li>Material: PP Iron+ Electronic Components</li>
  <li>Net Weight: 29.7 lbs</li>
  <li>Battery: 12V4.5AH X 1</li>
  <li>Motor: 35W X 2</li>
  <li>Suitable Age: 3-6 years</li>
  <li>Loading Capacity: 61.6 lbs</li>
  <li>Overall Dimension: 41.3""L X 25.6""W X 20.5""H</li>
  <li>Seat Width: 14.2"", Seat Depth: 7.9""</li>
  <li>Speed: 2-4 mph/h</li>
  <li>Charger: Input - 110V-240V, Output - 15 V DC: 500mA/15 V DC: 1000mA</li>
  <li>Charge Time: 8-12 Hours</li>
  <li>Run Time: 1-2 Hours</li>
  <li>Certification: ASTM F963 (US Consumer Toy Safety Standard)</li>
</ul>

<p>Package includes: 1 X Ride on Car, 1 X Remote Control, 1 X Charger, 1 X Instruction</p>


</body>",Magic Cars,,"",Lamborghini Ride On Toy,false,Warranty,None - $0,,Custom license plate,None - $0,,,,,155676351471-none-none-nan,38555.986479318,shopify,deny,manual,598.00,777.40,true,true,'315584590800,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l500_4e2e1c80-e165-4733-8ef7-f10f7788854c.png?v=1694748547,1,"",false,,,,,,315584590800,New,,,B72,,,,,,,,,,,,,,,,,lb,,398.00,archived
12v-licensed-lamborghini-urus-kids-ride-on-truck-car-with-remote-control-and-battery,,,,,,,,,None - $0,,,Custom license plate - $39,,,,,155676351471-none-customlicenseplate-nan,38555.986479318,shopify,deny,manual,637.00,828.10,true,true,'315584590817,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l500_a5556666-331e-4c14-ba8d-e59e2e4b63a7.png?v=1694748547,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,437.00,
12v-licensed-lamborghini-urus-kids-ride-on-truck-car-with-remote-control-and-battery,,,,,,,,,1 year - $89,,,None - $0,,,,,155676351471-1year-none-nan,38555.986479318,shopify,deny,manual,687.00,893.10,true,true,'315584590824,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l500_8f6c3428-c2ed-4cf2-b201-97450468cfce.png?v=1694748547,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,487.00,
12v-licensed-lamborghini-urus-kids-ride-on-truck-car-with-remote-control-and-battery,,,,,,,,,1 year - $89,,,Custom license plate - $39,,,,,155676351471-1year-customlicenseplate-nan,38555.986479318,shopify,deny,manual,726.00,943.80,true,true,'315584590831,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l500_44d6a28e-131c-4ead-a07e-5d5de2d1dec3.png?v=1694748547,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,526.00,
12v-licensed-lamborghini-urus-kids-ride-on-truck-car-with-remote-control-and-battery,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l1600_60c2cb5b-d141-4ece-bb9e-3cfe66efdfb4.png?v=1694748547,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12v-licensed-lamborghini-urus-kids-ride-on-truck-car-with-remote-control-and-battery,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l500_d6f6b0bf-8042-4f3e-a306-f53bd43e4170.png?v=1694748547,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12v-licensed-lamborghini-urus-kids-ride-on-truck-car-with-remote-control-and-battery,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l500_5dffe28e-a2c4-4eb4-8694-7ae8ed3d5b6b.png?v=1694748547,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12v-licensed-lamborghini-urus-kids-ride-on-truck-car-with-remote-control-and-battery,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l500_de2be9ea-1d7c-45ac-a91d-05af976f3bb0.png?v=1694748547,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12v-licensed-lamborghini-urus-kids-ride-on-truck-car-with-remote-control-and-battery,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l500_8cbd33c5-8d0f-46be-be66-d5fc99b70abe.png?v=1694748547,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12v-licensed-lamborghini-urus-kids-ride-on-truck-car-with-remote-control-and-battery,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l500_834daa6e-aad6-4fbc-9b4a-bbfba142218d.png?v=1694748547,10,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12v-licensed-lamborghini-urus-kids-ride-on-truck-car-with-remote-control-and-battery,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l500_a4359a4e-90e8-4993-b4d6-5a9b19fcf1f2.png?v=1694748547,11,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12v-licensed-lamborghini-urus-kids-ride-on-truck-car-with-remote-control-and-battery,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l500_632cde0f-5cc7-4f8e-a68e-f605460d35f3.png?v=1694748547,12,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24v-jeep-double-drive-kids-electric-car-with-200w-2-motors-and-12v9ah-2-batteries,24V JEEP Double Drive Kids Electric Car With 200W*2 Motors and 12V9AH*2 Batteries,"<body>



<h1>The CHARGER:12V1000MA - Ride-On Adventure</h1>

<p>Get ready for an electrifying outdoor adventure with the CHARGER:12V1000MA ride-on toy. This powerful and thrilling <a href=""https://www.magiccars.com"">ride-on</a> is designed to bring endless fun and imaginative exploration to kids aged 3-8 years old. With its robust 200W*2 motors and 12V9A*2 batteries, this ride-on is ready to conquer any terrain and provide hours of non-stop excitement.</p>

<h2>Key Features:</h2>
<ul>
  <li>Electron assisted steering wheel for easy navigation</li>
  <li>Forward and backward motion for versatile exploration</li>
  <li>High and low speed options for different adventure levels</li>
  <li>Front and back lights to illuminate the path ahead</li>
  <li>Four-piece searchlight for enhanced visibility</li>
  <li>USB, Bluetooth, and MP3 capabilities for personalized music experience</li>
  <li>Volume adjustment and power display for convenient control</li>
  <li>One-button start for instant adventure</li>
  <li>Light control button for added convenience</li>
  <li>2.4G R/C with three-speed options for parental control</li>
  <li>Four-wheel shock absorber for a smooth and comfortable ride</li>
  <li>Metal adjustable pull rod for easy transportation</li>
  <li>Two doors that can open for a realistic driving experience</li>
</ul>

<h2>Product Specifications:</h2>
<ul>
  <li>Maxmum Load: 88 lbs</li>
  <li>Car speed: 3-8 km/h</li>
  <li>Applicable age: 3-8 years old (2 kids 1-3 years old, 1 kid 3-8 years old)</li>
</ul>

<h2>Test Standards:</h2>
<ul>
  <li>SOR</li>
  <li>CA65</li>
  <li>F963</li>
  <li>CPSIA</li>
  <li>EN71 1-2-3</li>
  <li>EN62115</li>
  <li>Phthalates Content</li>
  <li>3c</li>
  <li>BO 4.25</li>
  <li>CEC</li>
  <li>DOE</li>
</ul>

<p>Ignite your child's imagination and let them embark on thrilling adventures with the CHARGER:12V1000MA ride-on. With its powerful motors, durable construction, and exciting features, this ride-on is the perfect companion for outdoor fun. Get ready to explore new frontiers and create unforgettable memories with the CHARGER:12V1000MA ride-on toy.</p>


</body>",Magic Cars,,"",Jeep Ride On Toy,false,Warranty,None - $0,,Custom license plate,None - $0,,,,,175883104948-none-none-nan,38555.986479318,shopify,deny,manual,597.85,777.21,true,true,'315584590763,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l500_39b503a6-f2a5-424d-bc3c-3c440bcb904e.jpg?v=1694748527,1,"",false,,,,,,315584590763,New,,,B72,,,,,,,,,,,,,,,,,lb,,397.85,archived
24v-jeep-double-drive-kids-electric-car-with-200w-2-motors-and-12v9ah-2-batteries,,,,,,,,,None - $0,,,Custom license plate - $39,,,,,175883104948-none-customlicenseplate-nan,38555.986479318,shopify,deny,manual,636.85,827.91,true,true,'315584590770,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l1600_2d03ca07-c749-49ac-898f-236545578c86.jpg?v=1694748527,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,436.85,
24v-jeep-double-drive-kids-electric-car-with-200w-2-motors-and-12v9ah-2-batteries,,,,,,,,,1 year - $89,,,None - $0,,,,,175883104948-1year-none-nan,38555.986479318,shopify,deny,manual,686.85,892.91,true,true,'315584590787,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l1600_00fa1fc7-9d78-43c4-93ea-ffe60b8b6eb0.jpg?v=1694748527,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,486.85,
24v-jeep-double-drive-kids-electric-car-with-200w-2-motors-and-12v9ah-2-batteries,,,,,,,,,1 year - $89,,,Custom license plate - $39,,,,,175883104948-1year-customlicenseplate-nan,38555.986479318,shopify,deny,manual,725.85,943.61,true,true,'315584590794,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l1600_2f8c0be2-5001-4457-81f1-c3562e5ef8d7.jpg?v=1694748527,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,525.85,
24v-jeep-double-drive-kids-electric-car-with-200w-2-motors-and-12v9ah-2-batteries,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l1600_4fc6bea7-ff43-4293-a029-41c50564611f.jpg?v=1694748527,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24v-jeep-double-drive-kids-electric-car-with-200w-2-motors-and-12v9ah-2-batteries,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l1600_597c07cb-276c-4c75-88ca-d46a29333fbe.jpg?v=1694748527,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24v-jeep-double-drive-kids-electric-car-with-200w-2-motors-and-12v9ah-2-batteries,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l1600_82e1e8a6-65a5-4158-8991-a7967b849ddc.jpg?v=1694748527,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24v-jeep-double-drive-kids-electric-car-with-200w-2-motors-and-12v9ah-2-batteries,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l1600_9b387bd0-756e-4329-9e68-9090ee533246.jpg?v=1694748527,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24v-jeep-double-drive-kids-electric-car-with-200w-2-motors-and-12v9ah-2-batteries,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l1600_a3accba7-8b91-410e-9c7e-080fc28e5ae4.jpg?v=1694748527,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
